
ProcessName                Id Path                                                                                                                        
-----------                -- ----                                                                                                                        
AggregatorHost           4628 C:\WINDOWS\System32\AggregatorHost.exe                                                                                      
ApplicationFrameHost     3788 C:\WINDOWS\system32\ApplicationFrameHost.exe                                                                                
conhost                  5912 C:\WINDOWS\system32\conhost.exe                                                                                             
conhost                  9624 C:\WINDOWS\system32\conhost.exe                                                                                             
conhost                   920 C:\WINDOWS\system32\conhost.exe                                                                                             
conhost                  4388 C:\WINDOWS\system32\conhost.exe                                                                                             
CrossDeviceResume        5940 C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\CrossDeviceResume.exe                                       
csrss                     668                                                                                                                             
csrss                     580                                                                                                                             
ctfmon                   7592 C:\WINDOWS\system32\ctfmon.exe                                                                                              
dllhost                  7892 C:\WINDOWS\system32\DllHost.exe                                                                                             
dllhost                  6368 C:\WINDOWS\system32\DllHost.exe                                                                                             
dllhost                  3860 C:\WINDOWS\system32\dllhost.exe                                                                                             
dumpcap                  1800 C:\Program Files\Wireshark\dumpcap.exe                                                                                      
dwm                       440 C:\WINDOWS\system32\dwm.exe                                                                                                 
explorer                 5312 C:\WINDOWS\Explorer.EXE                                                                                                     
FileCoAuth               9516 C:\Users\LAB3USER\AppData\Local\Microsoft\OneDrive\26.163.0823.0004\FileCoAuth.exe                                      
fontdrvhost               968 C:\WINDOWS\system32\fontdrvhost.exe                                                                                         
fontdrvhost               964 C:\WINDOWS\system32\fontdrvhost.exe                                                                                         
Idle                        0                                                                                                                             
lsass                     820                                                                                                                             
Memory Compression        776                                                                                                                             
MicrosoftEdgeUpdate      3832 C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe                                                         
MoNotificationUx         4472 C:\WINDOWS\uus\packages\preview\AMD64\MoNotificationUx.exe                                                                  
MpDefenderCoreService    9420                                                                                                                             
msdtc                    4056 C:\WINDOWS\System32\msdtc.exe                                                                                               
msedge                   8956 C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe                                                                
msedge                   7380 C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe                                                                
msedge                  10024 C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe                                                                
msedge                   9908 C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe                                                                
msedge                   2428 C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe                                                                
msedge                   1036 C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe                                                                
msedge                   7344 C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe                                                                
msedge                   7340 C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe                                                                
msedgewebview2           9340 C:\Program Files (x86)\Microsoft\EdgeWebView\Application\145.0.3800.97\msedgewebview2.exe                                   
msedgewebview2           8640 C:\Program Files (x86)\Microsoft\EdgeWebView\Application\145.0.3800.97\msedgewebview2.exe                                   
msedgewebview2           8520 C:\Program Files (x86)\Microsoft\EdgeWebView\Application\145.0.3800.97\msedgewebview2.exe                                   
msedgewebview2           9820 C:\Program Files (x86)\Microsoft\EdgeWebView\Application\145.0.3800.97\msedgewebview2.exe                                   
msedgewebview2           9588 C:\Program Files (x86)\Microsoft\EdgeWebView\Application\145.0.3800.97\msedgewebview2.exe                                   
msedgewebview2           9404 C:\Program Files (x86)\Microsoft\EdgeWebView\Application\145.0.3800.97\msedgewebview2.exe                                   
msedgewebview2           5984 C:\Program Files (x86)\Microsoft\EdgeWebView\Application\145.0.3800.97\msedgewebview2.exe                                   
msedgewebview2           4944 C:\Program Files (x86)\Microsoft\EdgeWebView\Application\145.0.3800.97\msedgewebview2.exe                                   
msedgewebview2           3824 C:\Program Files (x86)\Microsoft\EdgeWebView\Application\145.0.3800.97\msedgewebview2.exe                                   
msedgewebview2           8468 C:\Program Files (x86)\Microsoft\EdgeWebView\Application\145.0.3800.97\msedgewebview2.exe                                   
msedgewebview2           7700 C:\Program Files (x86)\Microsoft\EdgeWebView\Application\145.0.3800.97\msedgewebview2.exe                                   
msedgewebview2           6544 C:\Program Files (x86)\Microsoft\EdgeWebView\Application\145.0.3800.97\msedgewebview2.exe                                   
MsMpEng                  8888                                                                                                                             
NisSrv                   1692                                                                                                                             
Notepad                  7884 C:\Program Files\WindowsApps\Microsoft.WindowsNotepad_11.2607.14.0_x64__8wekyb3d8bbwe\Notepad\Notepad.exe                   
Notepad                  5696 C:\Program Files\WindowsApps\Microsoft.WindowsNotepad_11.2607.14.0_x64__8wekyb3d8bbwe\Notepad\Notepad.exe                   
OneDrive                 9416 C:\Users\LAB3USER\AppData\Local\Microsoft\OneDrive\OneDrive.exe                                                         
OpenConsole              2548 C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.24.11911.0_x64__8wekyb3d8bbwe\OpenConsole.exe                      
powershell               6836 C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe                                                                   
powershell               2872 C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe                                                                   
